 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
r	7.667477e-05	0.0029437074	0.0056017255	0.81889796	0.033562727	0.007367642	0.036693897	0.023427453	0.01771528	0.018287791	0.035425175
k	0.003826467	0.0011146927	0.01236994	0.53673595	0.051175594	0.05790091	0.025522398	0.0074540866	0.0029121195	0.023759652	0.27722818
u	0.00069749076	0.0007183856	0.0019879823	0.7365921	0.065498635	0.008193162	0.16765478	0.0114160385	0.0007651019	0.0033645453	0.0031117995
t	0.00034690663	0.0005737721	0.0010069977	0.049469493	0.3890018	0.29392797	0.23911846	0.017322019	0.0063726567	0.0005913553	0.0022685209
t	0.008617023	0.0016328447	0.004758445	0.14701329	0.054260317	0.4256308	0.05349755	0.017481828	0.017736748	0.01467948	0.25469166
e	0.00016087525	0.00036161565	0.0006099672	0.063773885	0.21140629	0.3972452	0.27494985	0.017429622	0.007698917	0.003830163	0.022533644
n	0.004000415	0.0005158836	0.00073326606	0.004509384	0.33846322	0.39178544	0.21504468	0.023129448	0.011919976	0.0024201486	0.0074781203
d	0.0003083573	0.0034050161	0.0034813087	0.08366033	0.08411449	0.11210566	0.23540959	0.05305217	0.03378639	0.03233556	0.35834113
i	0.034046106	0.0014365203	0.0011216432	0.043127675	0.30706584	0.0992059	0.27583778	0.04868552	0.00422926	0.065620705	0.11962306
m	0.0031310983	0.00083054666	0.0010230717	0.0028128508	0.39268187	0.27301282	0.2659538	0.03701655	0.01571759	0.001662159	0.0061576394
è	0.047037724	0.0011568204	0.0022500295	0.010617845	0.16181383	0.41933063	0.1572271	0.020113556	0.0074532307	0.03719745	0.13580179
n	0.00075132784	0.0006107606	0.00031159783	0.005568726	0.37452608	0.094666354	0.33542922	0.10441207	0.04427051	0.0120927775	0.02736066
i	0.024818644	0.001812756	0.0017208029	0.007915723	0.12649043	0.17542374	0.18734248	0.03847372	0.010046572	0.10366588	0.32228923
à	0.0051943026	0.00089894386	0.0011070282	0.0027745804	0.13154088	0.290395	0.22743857	0.18429273	0.13582209	0.005969245	0.014566636
t	5.3355423e-05	0.0008018888	0.00039138636	0.010098879	0.020421084	0.036358792	0.183578	0.2217279	0.39594388	0.057621937	0.07300292
t	0.0022812579	0.00069799856	0.0016692585	0.013659824	0.042525496	0.06338287	0.11264047	0.035433587	0.025653873	0.15838942	0.54366595
o	0.0003164442	0.00021303917	6.489117e-05	0.0040511466	0.077959865	0.04092701	0.551297	0.19758545	0.05382471	0.027097953	0.04666246
n	0.0057051056	0.0011844167	0.0017288355	0.005014617	0.1009063	0.17222047	0.15697752	0.22724943	0.25676283	0.030595751	0.041654725
c	0.00053696183	0.0017571093	0.004004114	0.019657018	0.004912048	0.04379844	0.10146023	0.053170413	0.11347262	0.12397047	0.5332606
i	0.08467774	0.001962954	0.0040649422	0.004248938	0.0617201	0.041749205	0.19350164	0.07749316	0.025603881	0.2541344	0.25084305
ù	0.0056970944	0.001990877	0.0025771013	0.005096606	0.10792479	0.08179158	0.14306939	0.26599804	0.29400802	0.047753576	0.04409296
r	4.5331963e-05	0.0005838744	0.00028836177	0.011775139	0.005452961	0.0073227873	0.04209647	0.18167032	0.5363647	0.10675988	0.10764021
i	0.00368704	0.00059552194	0.0019919588	0.0071800537	0.009557774	0.01793702	0.05279208	0.033338252	0.043116663	0.2631709	0.5666327
c	0.0034812686	0.0012645567	0.0023595036	0.0068677682	0.04985853	0.067104176	0.03844184	0.13244733	0.39977726	0.2201129	0.078284904
e	0.1254568	0.0034924168	0.02174981	0.007967081	0.013266476	0.07356778	0.063322574	0.024213435	0.047971692	0.19431871	0.4246732
à	0.006575714	0.0029569725	0.0034191972	0.010507269	0.08673029	0.045709495	0.047022685	0.09513657	0.3011664	0.2841089	0.11666652
t	2.5097446e-05	0.0006025244	0.00024475477	0.013431948	0.002269492	0.0030144611	0.009211908	0.045549292	0.55681235	0.23034494	0.13849321
t	0.0016716046	0.0005801424	0.0020506375	0.008638629	0.005105616	0.007292675	0.016922167	0.02501158	0.09104033	0.2728017	0.56888485
i	0.0021932237	0.00071317033	0.0003038942	0.005123039	0.011037316	0.0021827735	0.012117844	0.03229324	0.07478146	0.5353514	0.3239026
m	0.0019736658	0.00097012287	0.002237713	0.0097357305	0.03909549	0.030028515	0.017851265	0.013462101	0.04545548	0.67497957	0.16421042
à	0.13067035	0.0034316285	0.028778417	0.006828007	0.0049689543	0.017686788	0.012620458	0.0072278557	0.05207819	0.2585741	0.47713518
n	0.00021659769	0.00017884733	0.00017006267	0.007917622	0.0058145067	0.0016255474	0.0072762133	0.019960769	0.09988097	0.6822534	0.17470542
a	0.040649574	0.002317368	0.009935999	0.0029294332	0.011845088	0.0046871086	0.0059001264	0.0025535333	0.017088577	0.44342133	0.45867178
</S>	0.0029680668	0.0013139015	0.0023753163	0.010789327	0.053892594	0.037521724	0.018404655	0.009640548	0.010647329	0.63127357	0.22117297
