 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
g	0.00047820376	0.0011182107	0.0010612722	0.0022741468	0.0014578432	0.05996978	0.20401289	0.52124643	0.09983184	0.07044273	0.022302598	0.013136929	0.0011219286	0.00067099615	0.00039475315	0.000479455
e	0.00083156757	0.0019739533	0.0019867825	0.0038941929	0.0029915713	0.05472857	0.239901	0.45774403	0.094266616	0.09698563	0.018774224	0.015020375	0.0043311724	0.0011390389	0.0010340236	0.004397193
l	0.0007539391	0.001291077	0.0013752443	0.004151041	0.002279843	0.022275731	0.15149996	0.44441938	0.26885107	0.059172958	0.027294982	0.010613104	0.0023494652	0.00083074596	0.00037889727	0.0024625815
à	0.002182585	0.00513404	0.0073977085	0.011836463	0.005023988	0.0447032	0.09709736	0.30858478	0.039286442	0.26077098	0.027146447	0.017823674	0.020438645	0.0045599085	0.0027935158	0.14522025
o	0.0004959792	0.0003941629	0.0004340761	0.00079116557	0.00090517814	0.0029416766	0.029125657	0.2602689	0.33347046	0.106568724	0.18764816	0.060617924	0.005854626	0.008209691	0.0013849786	0.000888625
p	0.00016715875	0.00033548375	0.00024641826	0.0003899221	0.0001445587	0.0031852436	0.0066621155	0.14210773	0.14792895	0.42334387	0.16663091	0.05663943	0.032723073	0.013414303	0.0046328534	0.0014480375
r	0.0004968191	0.0010104111	0.00088326813	0.0020105042	0.0006541884	0.00638306	0.01896903	0.20762803	0.16566768	0.38303494	0.10155632	0.04258664	0.03923991	0.0077855797	0.0043842653	0.017709363
ì	0.0051322575	0.006448728	0.011248786	0.014318785	0.0012491543	0.006891683	0.008333913	0.081999086	0.02304548	0.5447124	0.036367446	0.009645203	0.0792587	0.007378292	0.004206711	0.15976335
m	0.00019085009	0.00012967864	0.00015085885	0.00028829733	0.00027965105	0.0006242956	0.0027104903	0.030433288	0.09601503	0.09333756	0.44620085	0.23007518	0.02461312	0.06846798	0.0050041657	0.0014786657
a	0.005403971	0.0057887747	0.007829117	0.022517588	0.0018333863	0.011015645	0.016840048	0.11771837	0.0979416	0.38195935	0.09640421	0.045330968	0.07676557	0.013042152	0.028472256	0.07113711
k	0.00015134274	0.00011052532	0.00013172795	0.00033013796	0.00029610342	0.0012275147	0.0035597992	0.015716143	0.04558507	0.07287045	0.4423622	0.24827904	0.05374852	0.100679144	0.011433422	0.0035188259
a	0.0019318727	0.0022552563	0.0031516752	0.0070605385	0.0013744871	0.0078284545	0.007938608	0.04307355	0.047874175	0.38421765	0.1394649	0.069416314	0.18978877	0.027009007	0.013995035	0.053619705
n	0.00018097712	0.00020379302	0.00017738897	0.00054729293	0.0003430877	0.0008186916	0.0035138344	0.009084498	0.041338917	0.025695594	0.36889312	0.36278245	0.03432219	0.1362583	0.013867867	0.001971968
a	0.0020105562	0.0028687317	0.0030881565	0.00715027	0.0014515208	0.0059411013	0.005238913	0.020898493	0.025278473	0.16619304	0.20038489	0.1742803	0.2684852	0.06585294	0.018790277	0.03208715
f	0.00027547934	0.00032355645	0.0002481527	0.00059081026	0.00035724958	0.0005753799	0.0016718812	0.004511441	0.020178366	0.013954904	0.28663725	0.34612563	0.045394834	0.24131708	0.033819456	0.004018579
a	0.001363062	0.0016564577	0.0020141439	0.00535269	0.0013135463	0.0048100413	0.004654389	0.015061105	0.01781846	0.0997638	0.20009078	0.21893694	0.2089583	0.13571097	0.036814347	0.045680992
n	0.0003180587	0.0004097668	0.00030185896	0.0007031432	0.0003962758	0.00064109283	0.0016718891	0.003929455	0.015504391	0.009680966	0.20322464	0.27395156	0.062769376	0.34533465	0.07150878	0.009654118
e	0.002313735	0.0029691625	0.0031527334	0.008767922	0.0013216857	0.0045725596	0.003692903	0.009211928	0.010537684	0.05121476	0.13931629	0.21123722	0.24658008	0.20622332	0.058171123	0.0407169
p	0.00044655337	0.000509836	0.00039231352	0.0008870447	0.0005570425	0.00076229655	0.0018671592	0.0037214328	0.013222722	0.0066042556	0.14163125	0.21907113	0.059728153	0.38912678	0.14296442	0.018507648
r	0.0008559052	0.0015760179	0.0012288066	0.0031752402	0.0006197231	0.0017501552	0.0020885149	0.0048876754	0.0071107186	0.02788875	0.08916148	0.13098554	0.288495	0.20694003	0.05803193	0.17520449
ì	0.010512534	0.0142375985	0.019442145	0.035715133	0.0016378649	0.00406847	0.0026577085	0.006421601	0.006593864	0.047935233	0.04396427	0.022479843	0.4575039	0.07346708	0.02628734	0.2270754
m	0.0003549466	0.00024101943	0.0002586849	0.00047589373	0.00040975606	0.00043916205	0.0008633749	0.0019270517	0.0043880474	0.004639208	0.062157094	0.10434591	0.060838025	0.36416444	0.3546071	0.039890256
a	0.0074259588	0.009258441	0.01092977	0.027180297	0.0016398806	0.00518127	0.0024076665	0.006186573	0.006527444	0.030806921	0.06851547	0.09731467	0.25953203	0.14796379	0.20879395	0.11033583
n	0.0004741318	0.0003523237	0.00035074766	0.00077979016	0.0006306592	0.0010593572	0.0025002188	0.0055170697	0.012259244	0.0065818056	0.07400119	0.09733527	0.055293195	0.23327018	0.3375336	0.17206122
a	0.009895261	0.009864145	0.012985491	0.03483187	0.0028891275	0.00830638	0.0044306437	0.00799439	0.006057699	0.021278024	0.038514316	0.06931321	0.2866543	0.15144421	0.18322462	0.15231632
f	0.0007438815	0.0008896319	0.0006679236	0.0017296515	0.0010604128	0.0011048622	0.0031667498	0.0044473154	0.015424038	0.003774733	0.06506229	0.12707019	0.035386913	0.2421977	0.36586913	0.13140462
à	0.0066330093	0.006484434	0.008521397	0.022525502	0.0029901748	0.009372522	0.0050228224	0.009510037	0.007400564	0.021698272	0.03882656	0.087671496	0.20667636	0.1968938	0.2161843	0.15358868
n	0.0011142311	0.0008326483	0.0008896583	0.001186663	0.0010689428	0.0010050546	0.001247261	0.0016482727	0.0022266703	0.0025886989	0.01370114	0.027906004	0.052801274	0.18913138	0.62242377	0.08022828
e	0.006675648	0.010063997	0.010252084	0.024870796	0.00217181	0.0047639143	0.0018698602	0.0028781085	0.0029660645	0.0076266797	0.019083817	0.04379822	0.09097732	0.13424423	0.55622363	0.08153389
</S>	0.00046752207	0.00043126647	0.00037418515	0.00085766637	0.0006047463	0.0008047078	0.0019009153	0.0034784453	0.009033515	0.003105908	0.032470778	0.048461344	0.02195782	0.09716818	0.26973584	0.50914717
