 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
t	9.095285e-05	0.023616824	0.32090467	0.60556763	0.04446118	0.004618432	0.0006383627	7.2702416e-05	1.907612e-05	9.148284e-06	7.001865e-07	2.963216e-07	5.4397585e-08	1.0747763e-08	1.7022021e-08	2.6159205e-08
i	0.00011052871	0.02347873	0.43773425	0.5207854	0.0024784873	0.01001965	0.0032541559	0.0009908103	0.00039183925	0.00047048114	0.00018298317	5.9347218e-05	1.5097077e-05	6.8986296e-06	5.0370663e-06	1.6293334e-05
e	0.0008381122	0.008791919	0.26309308	0.33185595	0.32856232	0.05526693	0.0089522265	0.0016254142	0.00072399015	0.00024038118	3.2657514e-05	1.36310855e-05	2.369369e-06	2.4481818e-07	1.0814909e-07	6.426259e-07
s	0.0018145813	0.0013870747	0.011011373	0.19691375	0.59529245	0.15882158	0.02317745	0.0062018586	0.0030617276	0.0016622974	0.0004241181	0.00018530265	3.6792888e-05	4.7299063e-06	4.3339344e-07	4.453492e-06
ò	1.0611132e-05	9.413003e-05	0.054713137	0.13270015	0.07642052	0.47442326	0.12708926	0.05446985	0.0290048	0.037553903	0.0072532813	0.004420728	0.0010026118	0.00038669392	0.00015765379	0.0002994289
z	0.0012742344	0.00047347046	0.0029893992	0.6911688	0.13831434	0.13540141	0.021635959	0.005482732	0.0014960635	0.0014717755	0.00019046561	7.9206846e-05	1.6161332e-05	2.6987902e-06	1.0257647e-06	2.3134314e-06
u	4.406553e-06	7.841388e-05	0.37359175	0.29085642	0.04324201	0.1613453	0.07111964	0.022241045	0.015247202	0.013928872	0.004610845	0.002583989	0.00045277018	0.0002492283	0.00014474275	0.00030340842
n	0.0023854133	0.00067267887	0.00058754795	0.029942237	0.1862539	0.51640487	0.17480658	0.05492974	0.018728798	0.012921213	0.0016229312	0.00059184514	0.00012710167	1.0139243e-05	2.0657944e-06	1.2904457e-05
f	2.7832712e-06	8.830787e-06	0.0048780222	0.038155448	0.06768566	0.4644687	0.20628743	0.08276587	0.04961812	0.059803523	0.0135946525	0.008656893	0.0019249055	0.00086136046	0.00044093703	0.0008468813
à	1.7963136e-07	5.349789e-06	0.00040667428	0.046476673	0.030567827	0.39430046	0.18661669	0.10951061	0.0871993	0.073724866	0.025664555	0.020928072	0.009469073	0.006431657	0.004068219	0.004629881
i	0.0071712118	0.007303278	0.0018301986	0.036233082	0.11529766	0.45118567	0.2831598	0.06911246	0.018683111	0.009341239	0.0004934668	0.00013974952	3.3159125e-05	2.721877e-06	3.5716623e-06	9.622617e-06
o	0.0007468107	7.590384e-05	1.559835e-05	0.001089681	0.026445737	0.23883429	0.3581869	0.19140665	0.10143597	0.06407084	0.011722753	0.0047283326	0.0010451275	8.807519e-05	1.2494624e-05	9.486252e-05
g	0.0012956904	0.00021800854	1.3717296e-05	0.0004211147	0.0059264516	0.05118223	0.21220252	0.18078312	0.33627084	0.12834403	0.051839013	0.0248928	0.005383533	0.0006053235	7.305227e-05	0.00054862775
e	6.09194e-06	7.144121e-05	0.0012883397	0.0009854126	0.0013356914	0.046687417	0.25342888	0.17513837	0.22400026	0.15032329	0.059484947	0.047462814	0.012439646	0.008414807	0.0073289634	0.011603654
l	0.0072557684	3.6855577e-05	1.1668655e-05	6.169841e-05	0.0021607531	0.04094471	0.27750415	0.30975723	0.18111557	0.15209424	0.019839073	0.007076301	0.0017533124	0.0001820848	4.7174257e-05	0.00015945216
à	7.007655e-06	4.0215586e-05	0.0006280753	0.00037949506	0.0007916873	0.022933424	0.19592373	0.18646601	0.23791482	0.17872435	0.07065177	0.056328073	0.015780214	0.010545848	0.008921188	0.013963999
o	0.017918693	0.00038167674	6.2662766e-05	0.00071340066	0.003983654	0.019173654	0.13936053	0.40716264	0.12206669	0.24253067	0.029856328	0.012640819	0.0030762572	0.0005393501	0.00016796283	0.00036498846
p	0.00010013537	7.5064004e-06	2.5536513e-06	3.2005308e-05	0.00059910375	0.0023810994	0.042545255	0.25665146	0.24658097	0.30902502	0.091736466	0.03851456	0.0095691	0.0011086814	0.00017869352	0.0009673891
r	8.7386e-06	1.8772173e-05	0.00013941417	3.2942167e-05	0.00025035103	0.0027013605	0.05073301	0.14658456	0.30486813	0.21629278	0.108643144	0.09757152	0.024974843	0.018091312	0.012676011	0.016413147
ì	3.8718315e-07	4.6714607e-07	1.3547183e-06	2.9897717e-05	0.00014465736	0.0007692611	0.010006592	0.17087765	0.08690699	0.42815894	0.1377019	0.08351246	0.040626265	0.013736133	0.0077047735	0.019822182
m	0.010304297	9.2721646e-05	3.908732e-05	0.00012461745	0.0009233326	0.0019682194	0.0052533923	0.15886846	0.099354036	0.5187774	0.12792996	0.055643976	0.016882092	0.0017174484	0.0004558282	0.0016651796
a	4.4938253e-07	4.017585e-05	2.0250023e-05	0.00019960057	8.6842345e-05	0.0014694799	0.028403562	0.12559064	0.23512587	0.16069369	0.2227537	0.10710941	0.03678201	0.03368747	0.0214023	0.0266346
k	0.002320216	9.92326e-05	4.4588032e-05	5.9166967e-05	0.0003535881	0.00059064955	0.0011019811	0.027780542	0.041983504	0.32159233	0.3074432	0.2002875	0.07840126	0.0075608697	0.0017100403	0.008671325
a	2.4686298e-05	3.0807034e-05	8.7756554e-05	2.5986892e-05	0.0001681615	0.0003829278	0.0014893829	0.015202836	0.08211995	0.14366226	0.2228852	0.25670624	0.07723023	0.060995754	0.056277193	0.082710676
n	0.011194734	9.9717305e-05	8.117806e-05	4.0307572e-05	0.0002324869	0.0005334656	0.00075473165	0.013002923	0.024395552	0.20631672	0.31420445	0.24211258	0.14709763	0.015836263	0.0054220273	0.018675273
a	3.09594e-05	1.3574361e-06	4.584778e-06	5.467346e-07	5.1395286e-06	2.205999e-05	0.00039352692	0.01118466	0.112601176	0.15127628	0.23156407	0.22489855	0.09416636	0.058912072	0.043921754	0.07101694
f	0.0014214991	0.00010225846	8.623221e-05	0.00011659165	0.00014543286	0.00034487393	0.0001818294	0.002423791	0.019012991	0.034676205	0.23768587	0.32598665	0.25639063	0.05957257	0.019076888	0.042775642
a	2.922435e-05	1.776546e-06	4.487618e-06	1.0046516e-06	3.572851e-05	7.433732e-05	0.00025260626	0.0025154576	0.015827686	0.0391946	0.14565532	0.2291209	0.15042804	0.13771628	0.12463171	0.15451081
n	0.004549919	0.00017481738	0.00016261674	0.00014607821	0.00024487491	0.0006351596	0.00028990343	0.0022713426	0.008980953	0.024438988	0.14613417	0.25873804	0.32111904	0.10419543	0.048392016	0.07952666
e	8.23822e-06	3.3986856e-07	1.061045e-06	2.8020887e-07	4.7348017e-06	1.30348135e-05	7.40803e-05	0.0019294599	0.017673912	0.049806815	0.16982585	0.23580457	0.16360083	0.13294922	0.1031477	0.12515987
p	0.0035074106	0.00030130977	0.00040828137	0.00024301228	0.0003104205	0.0009936962	0.00027989008	0.001500767	0.0059202374	0.007527646	0.053408768	0.1445636	0.3704476	0.17094685	0.10203849	0.13760194
r	1.3751362e-05	6.402272e-07	1.7006328e-06	4.871298e-07	1.8161114e-05	3.8892864e-05	0.000119983895	0.0012239688	0.0066190106	0.019659473	0.10192691	0.18634076	0.17503425	0.17038384	0.15505992	0.18355821
ì	4.2797356e-07	4.938194e-07	8.888656e-07	1.2086951e-05	3.372148e-05	4.4141114e-05	3.388021e-05	0.00034013216	0.0002274385	0.0032453798	0.014960415	0.0437183	0.15970428	0.19326873	0.25614107	0.32826868
m	0.021319743	0.0008178891	0.00096120127	0.0010212944	0.006391392	0.019525029	0.0073642395	0.016461177	0.005794266	0.03857504	0.028961105	0.054548517	0.1846761	0.14001824	0.20762622	0.26593864
a	9.986927e-06	2.1461508e-05	3.1029124e-06	3.7451136e-05	2.2680759e-05	0.00012135557	0.0001667346	0.0020556888	0.0062567773	0.017852785	0.16032258	0.19443409	0.16861792	0.2035894	0.12080186	0.12568606
n	0.0073025683	0.0015555571	0.0025332249	0.0016594451	0.0039409357	0.01326452	0.0059079267	0.009249871	0.009293675	0.024129925	0.018408058	0.030467847	0.084102444	0.08705164	0.3111896	0.3899427
a	8.269525e-06	3.8953974e-07	1.050887e-06	2.2733269e-07	1.2455765e-06	3.2429293e-06	7.182824e-06	9.416795e-05	0.0006783442	0.001156445	0.013974642	0.053456374	0.13549991	0.23819926	0.2838355	0.27308378
f	0.0026248603	0.0008969644	0.0015111734	0.0009744892	0.00092922227	0.003343266	0.0007083322	0.0014792251	0.004325295	0.0036715583	0.008559715	0.022007344	0.08554758	0.12886281	0.37490147	0.35965666
à	3.3773285e-05	1.2050823e-06	2.4097567e-06	4.5500656e-07	2.3803561e-06	4.699053e-06	1.1558617e-05	0.000119409415	0.00059171655	0.0009651206	0.008095619	0.030111479	0.09476213	0.19332434	0.3243346	0.34763917
n	0.010821791	0.0010311911	0.001067551	0.0013586304	0.0016919654	0.0046557263	0.0013446676	0.0022987719	0.0046774885	0.006604033	0.008498707	0.017868612	0.042388786	0.08544351	0.42708722	0.3831614
e	6.6510415e-06	1.0718146e-06	1.3491962e-06	4.1078856e-06	9.9591e-06	3.3845394e-05	3.138461e-05	0.0003264188	0.0006033965	0.0017340049	0.012690299	0.040957365	0.10638131	0.22618602	0.2804015	0.33063135
</S>	0.0113404505	0.0016917401	0.0030025942	0.001461777	0.0016744946	0.0062043075	0.0015073132	0.002353282	0.008749826	0.0054306323	0.0085765645	0.016686162	0.034535088	0.049906217	0.43589982	0.41097978
