 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
u	0.000152907	0.0017555	0.000186752	0.0429308	0.0374164	0.322396	0.0191144	0.0216092	0.0382473	0.213342	0.302849
t	0.000459843	6.40844e-05	0.00767321	0.221487	0.618214	0.06429	0.0319813	0.0481222	0.00365369	0.00193827	0.00211623
t	8.08342e-05	3.05528e-05	0.000266498	0.510685	0.188921	0.245103	0.0331392	0.00907684	0.00326189	0.00286914	0.00656614
e	0.000883525	3.6305e-05	0.00358751	0.091661	0.242394	0.0913439	0.244379	0.0700321	0.00166829	0.0249451	0.22907
n	9.25612e-05	3.94536e-05	0.00109645	0.321027	0.450028	0.117682	0.0614529	0.025553	0.00194548	0.00328546	0.0177989
d	0.000130108	6.82796e-05	0.00022601	0.0861706	0.296411	0.517844	0.0472967	0.0255148	0.0100597	0.00380627	0.0124728
i	0.00110667	0.000301186	0.00475823	0.0143056	0.0790394	0.109859	0.340812	0.0624095	0.00239271	0.0576912	0.327325
m	0.000117045	8.02435e-05	0.000328205	0.033749	0.19611	0.486742	0.160261	0.0698711	0.0123515	0.0085102	0.0318805
è	0.000332821	0.000578746	0.000474248	0.0332626	0.255654	0.626577	0.0459126	0.0121228	0.0122896	0.00472459	0.00807157
n	0.000246294	0.0256502	0.000269736	0.044771	0.061502	0.74618	0.0226291	0.00316795	0.0056619	0.0685007	0.0214211
i	0.000904683	0.0012511	0.000729854	0.080125	0.434341	0.20333	0.00430854	0.0927994	0.145143	0.0297574	0.00731079
à	0.000190711	2.40654e-05	0.000329726	0.0115742	0.302038	0.0840488	0.233603	0.354234	0.00878838	0.00186081	0.00330769
t	0.000160377	0.00221245	0.00012414	0.00234696	0.11803	0.421593	0.0716471	0.235147	0.139207	0.00784359	0.00168891
t	0.000417993	0.000972621	0.000223349	0.00581829	0.0549242	0.305459	0.0558464	0.378784	0.190223	0.00652363	0.000807081
o	2.3496e-05	0.000222856	2.20876e-06	0.00260451	0.00946642	0.626959	0.0611411	0.0151871	0.00753803	0.046051	0.230804
n	9.14415e-05	2.3531e-05	0.000125765	0.00218486	0.0331387	0.0242923	0.119784	0.738665	0.0598816	0.00552634	0.0162861
c	5.95831e-05	4.45617e-05	3.43101e-05	0.000910172	0.0242602	0.505659	0.202428	0.201421	0.034564	0.00843437	0.0221851
i	6.72078e-05	5.88704e-05	3.57844e-05	0.00256317	0.0429538	0.301854	0.306464	0.0696847	0.00241375	0.0136034	0.260301
ù	0.000129622	3.41856e-05	0.000139345	0.000649921	0.0199116	0.0713291	0.563682	0.255419	0.00553361	0.00691736	0.0762547
r	0.000195968	0.0110943	0.000182727	0.00114937	0.00322726	0.0255534	0.00571466	0.226278	0.680752	0.0437948	0.00205798
i	0.000201556	0.000549558	0.000116065	0.00452546	0.0666757	0.303992	0.034885	0.387359	0.182365	0.014511	0.00482005
c	0.000194569	3.24168e-05	0.000245648	0.000620964	0.0139808	0.0046193	0.0477266	0.696177	0.105312	0.0237808	0.10731
e	0.000872745	0.000349084	0.000284918	0.00307788	0.00945551	0.0558776	0.0584779	0.412105	0.294583	0.0503378	0.114579
à	0.000243009	4.95659e-05	0.000299686	0.000321734	0.00498495	0.00504018	0.0669849	0.578939	0.0694752	0.0287002	0.244962
t	0.000122623	0.0022731	7.67456e-05	0.00042921	0.000595377	0.00115207	0.000503301	0.0952725	0.706696	0.183304	0.00957429
t	0.000274884	0.000612168	0.000112418	0.0009792	0.00166524	0.00383496	0.0013838	0.185928	0.749348	0.0463346	0.00952709
i	3.69917e-05	0.000290923	3.80805e-06	0.000275436	0.00197184	0.112886	0.0292582	0.0139949	0.0123247	0.0886286	0.740329
m	0.000194041	6.98986e-05	0.000218817	0.000457404	0.00413358	0.00284069	0.00981767	0.106574	0.0538168	0.292061	0.529815
à	0.000534828	0.000570496	0.000203391	0.00161288	0.00284556	0.0186363	0.0126164	0.192267	0.451055	0.10789	0.211769
n	3.63595e-05	0.00773606	1.9337e-05	0.000211009	0.000160177	0.000910428	0.000120382	0.0116687	0.220925	0.652699	0.105513
a	0.000364741	0.000704602	0.000174323	0.00154674	0.00195078	0.00232966	0.000557038	0.110636	0.603331	0.243625	0.0347798
</S>	7.00707e-05	2.11643e-05	6.2346e-05	8.96875e-05	0.000289496	0.000158481	0.000561771	0.0129923	0.00958603	0.233424	0.742745
