 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
a31	0.06176647	0.060309127	0.06223053	0.06078122	0.0689565	0.18854207	0.07472686	0.13087879	0.29180846
a24	0.08284341	0.08175384	0.09117158	0.08302508	0.14319253	0.15212943	0.109543465	0.08656618	0.16977452
a37	0.07787004	0.07735178	0.07793122	0.07749041	0.07993129	0.106046245	0.07914445	0.090790205	0.33344436
a35	0.08631771	0.08572757	0.08737606	0.08596188	0.09607462	0.10375374	0.087233216	0.08450946	0.2830457
a37	0.080256745	0.07985583	0.08068678	0.080016084	0.08431378	0.10449864	0.08206172	0.09061428	0.31769615
a31	0.08287888	0.08260331	0.083297975	0.08270804	0.08685474	0.0924339	0.08200375	0.08133866	0.3258808
a24	0.08310959	0.08290404	0.08338087	0.082974575	0.085840896	0.08860088	0.08190748	0.07954658	0.3317351
a37	0.06945302	0.0692404	0.069460094	0.06930028	0.07011793	0.082590036	0.070358716	0.07809206	0.42138746
a38	0.07219866	0.072040506	0.072329655	0.072088294	0.07375445	0.07766502	0.07193608	0.07355152	0.41443583
a31	0.061636955	0.06156394	0.061805625	0.061612893	0.06287647	0.068789445	0.063033365	0.06768104	0.4910002
a46	0.08025318	0.08021355	0.080383144	0.08024474	0.081254736	0.082413614	0.08049084	0.078018345	0.3567279
a20	0.06095761	0.06091199	0.06099424	0.06093561	0.061257936	0.0657376	0.062184345	0.06519856	0.5018221
a24	0.06873352	0.06871591	0.068820365	0.06873721	0.06933564	0.070804186	0.06946378	0.069249265	0.44614008
a31	0.066374265	0.066315725	0.0664006	0.06634043	0.066649884	0.07118824	0.06692486	0.06917255	0.46063352
a8	0.09080695	0.090729594	0.090955734	0.09076815	0.09210878	0.0927858	0.09096323	0.086889625	0.27399215
</S>	0.051369783	0.051338095	0.051441923	0.051362496	0.051862285	0.05582714	0.052707456	0.05663303	0.5774578
