 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
t	5.009535e-05	0.0019024054	0.18739237	0.70616007	0.083253175	0.012265366	0.0035107464	0.0014672399	0.0032639417	0.00033948343	0.00023396083	5.5721754e-05	4.2476833e-05	2.6981385e-05	1.3476803e-06	3.4636556e-05
i	0.003584723	0.0033425547	0.026671048	0.85841745	0.005243853	0.039983306	0.0152755175	0.0037410692	0.042175326	0.0010775239	0.00027831798	0.00015069314	5.0322364e-05	1.2960157e-06	6.2585605e-06	7.7304315e-07
e	0.00023903871	0.0017283472	0.21322092	0.2979594	0.40740052	0.045299176	0.013658675	0.0056784903	0.010529969	0.0026100723	0.0006760244	0.00024539864	0.00017324851	0.0001429879	1.7096389e-05	0.0004206658
s	0.0011716007	0.0002644909	0.06630312	0.19824183	0.34691343	0.07629426	0.055590786	0.20279485	0.006195297	0.031508803	0.006860645	0.0017052917	0.00368615	0.001369582	4.9080627e-05	0.0010508301
ò	0.00089533906	0.0015713172	0.0033375307	0.62783414	0.020116678	0.19405344	0.03376636	0.022030866	0.09312251	0.0016774886	0.0009598576	0.00032511645	9.7362405e-05	4.273685e-05	2.9626815e-05	0.00013965898
z	8.071405e-05	6.814822e-05	0.0052323234	0.14247608	0.46324024	0.24318211	0.0978154	0.024776021	0.013134593	0.0051948396	0.003110156	0.00069369795	0.00043050857	0.0003331252	9.802554e-06	0.00022226284
u	0.001170245	0.0021065597	0.007919921	0.35034692	0.035722606	0.29428238	0.12948072	0.044648442	0.108109705	0.021387763	0.0027145124	0.0014943494	0.0005094878	1.0374156e-05	9.209738e-05	3.896316e-06
n	0.00016573697	0.00011144163	0.0010649778	0.017830295	0.70514506	0.10791071	0.09153398	0.047742393	0.005307494	0.0124749085	0.0065074908	0.0017414283	0.0009849243	0.0006394329	3.1569554e-05	0.00080820755
f	0.0012236878	0.0018224585	0.0027816205	0.025851374	0.007926431	0.4690262	0.10583745	0.0761337	0.29546842	0.010068873	0.0024521588	0.00107829	0.00012246864	5.3164607e-05	8.316578e-05	7.0475806e-05
à	0.00014978884	0.0002926833	0.005186922	0.01503313	0.050253574	0.40779495	0.21052872	0.023001697	0.27477887	0.010976562	0.00090307614	0.0008850729	0.0001279816	1.1407539e-05	7.081241e-05	4.771105e-06
i	8.021345e-05	3.012003e-05	0.00042096555	0.0038702877	0.13329275	0.30265787	0.3776134	0.11066719	0.0068359207	0.035958435	0.0190697	0.0046236403	0.0019235291	0.0017090667	4.9063063e-05	0.001197871
o	0.00079411187	1.7720917e-05	0.00013044603	0.0053779394	0.019897109	0.07497087	0.17471585	0.61328095	0.0019384006	0.06913746	0.021904977	0.005885801	0.0066811936	0.003470067	7.477645e-05	0.0017223367
g	0.0007198359	1.4902649e-05	0.00021912862	0.0035648078	0.005440132	0.037362624	0.2094218	0.62810993	0.0007986717	0.0877933	0.012456067	0.0047030454	0.0061615505	0.002823072	0.00012768526	0.00028350684
e	0.009467943	0.006035007	0.010681602	0.005450912	0.0039123166	0.24534929	0.0701076	0.18073696	0.35654408	0.066933066	0.025661675	0.010195445	0.00044229717	0.0008959683	0.0052915877	0.0022942869
l	0.00026539015	2.1963975e-05	0.00034726167	0.00045094945	0.0025013667	0.0042962795	0.06250516	0.697876	0.0003803544	0.19977424	0.015766947	0.00851139	0.0050227446	0.0020303256	0.00019084734	5.884275e-05
à	0.00027228467	9.555566e-05	0.00012254306	0.00014655662	0.0017363131	0.102985255	0.0648935	0.5709161	0.024238424	0.05742484	0.13095559	0.03556181	0.004315394	0.0043537575	0.0011005446	0.00088149257
o	0.0004166311	2.4652663e-05	0.00040033716	0.00049530104	0.0014970197	0.003499589	0.03520742	0.4885042	0.0016594131	0.35063004	0.05058061	0.030016543	0.018619783	0.016264945	0.00092695834	0.0012565139
p	0.0016887245	2.293535e-05	9.375045e-05	0.00056446466	8.132249e-05	0.005155577	0.04193166	0.7652573	0.002853907	0.08391028	0.0446909	0.025108624	0.019751886	0.0076796305	0.00051451987	0.0006945379
r	0.0008868711	0.00044054585	0.0028880558	0.0006572915	0.0075923223	0.043577902	0.028502453	0.14048307	0.024275739	0.37424925	0.22538896	0.09175457	0.01304766	0.0013535317	0.043449145	0.0014526767
ì	9.85564e-05	0.0001480485	0.0010266474	0.0023871905	0.04319246	0.03113479	0.028803488	0.15358637	0.010241103	0.234816	0.3136075	0.13207638	0.02386765	0.017355368	0.0056113694	0.0020470575
m	0.00096867274	6.7427194e-05	0.0008844832	0.0015960924	0.0014137009	0.0016961175	0.004104808	0.05156223	0.001364523	0.20453282	0.2677313	0.1725301	0.09830575	0.16434366	0.012323752	0.016574606
a	7.72463e-05	2.672638e-05	4.7167105e-05	4.6970985e-05	0.0011046444	0.0040501677	0.008221235	0.062438313	0.00042259018	0.19986044	0.4163543	0.19144654	0.088654384	0.0053855535	0.02156542	0.0002983893
k	0.0001873096	7.5748445e-05	0.00051161146	0.0020541656	0.0019542265	0.0016620441	0.001509526	0.005442964	0.0017583335	0.03342948	0.48076794	0.20880999	0.08527497	0.13062125	0.007371398	0.038569026
a	0.0004461815	0.00017645501	0.00023725918	0.0002464361	0.0039084502	0.0033080995	0.004794411	0.012816299	0.00016355615	0.07454007	0.4382077	0.24681173	0.06854943	0.005071106	0.13919519	0.0015276269
n	0.00057973276	0.00013644285	0.0011487684	0.002652736	0.0023324883	0.0040401723	0.0024164035	0.0031776614	0.0010060113	0.02356658	0.34380478	0.19694847	0.106718294	0.20479554	0.04781945	0.058856525
a	0.002350235	0.0010742001	0.00063595356	0.00080606516	0.005414895	0.0024735474	0.0035890827	0.0064746737	0.00015234643	0.022318874	0.35104972	0.23114525	0.061491862	0.016039666	0.27539456	0.019589135
f	0.0014480333	0.00014959257	0.0014644136	0.002842668	0.001718569	0.0030265253	0.0023068888	0.009591846	0.00073616876	0.026388567	0.17630303	0.17485934	0.18109794	0.17098455	0.22375123	0.023330636
a	0.00193533	0.0009132419	0.00038406553	0.00049726735	0.002425565	0.0010105192	0.0017358745	0.0035629603	0.00010940716	0.0082569355	0.20381725	0.17313634	0.064143315	0.036143936	0.4726638	0.029264193
n	0.0034909074	0.000232019	0.0022670364	0.007344417	0.0015662134	0.0060377615	0.0042786957	0.013078709	0.0014630836	0.015535658	0.07466876	0.092069484	0.19689177	0.18538612	0.36200184	0.03368759
e	0.00231484	0.0012398199	0.00070007116	0.0010051663	0.0028830606	0.0013097243	0.0022975826	0.0023994308	0.00015643814	0.00456953	0.10416711	0.107155904	0.059484918	0.027048314	0.6201519	0.06311625
p	0.005302836	0.00029984835	0.0033300791	0.01091703	0.0015068037	0.007334518	0.0061885263	0.018262222	0.0016951242	0.011234951	0.035758357	0.049853366	0.21325494	0.15364331	0.44967887	0.03173919
r	0.0016348045	0.0009317719	0.0006903794	0.0009020008	0.0021339902	0.001230502	0.002602486	0.0016766231	0.00019444607	0.0022291618	0.04095084	0.05831447	0.042053957	0.02220412	0.7579118	0.06433866
ì	0.00014500464	0.00017206793	0.00035895122	0.017552141	0.0110028265	0.06352583	0.06098372	0.04108949	0.0048055733	0.011407389	0.06104441	0.088871196	0.12579681	0.10979001	0.32298928	0.08046528
m	0.001307836	9.263918e-05	0.00066699757	0.0028679976	0.0007541491	0.0033716173	0.0016273737	0.0007285301	0.000701837	0.0008126651	0.0036836178	0.0052099056	0.029579775	0.1481759	0.66099876	0.13942043
a	0.00011296485	6.445954e-05	7.42433e-05	0.00013773274	0.00024474613	0.00026483703	0.00046204415	0.00046394256	1.2043988e-05	0.0027547455	0.070092194	0.08142318	0.2521664	0.032342777	0.55643755	0.0029461228
n	0.00045719743	0.00012486477	0.00078373955	0.0032059548	0.002599398	0.0060906024	0.0024466754	0.0003173163	0.0009541926	0.0006853398	0.0052389987	0.0044679116	0.023116508	0.27672422	0.31589743	0.35688967
a	0.0034956648	0.0016704907	0.002797643	0.0072199623	0.004527339	0.0037360364	0.006062483	0.0016618863	0.00020171065	0.0019165233	0.025631651	0.036230043	0.056416582	0.019754661	0.7743559	0.054321412
f	0.00046769646	0.00011445191	0.000606693	0.0020370868	0.002052139	0.005838556	0.002150339	0.0006405129	0.0007153156	0.00086075347	0.002809569	0.0030829092	0.010402755	0.095510446	0.6860946	0.18661623
à	0.010310502	0.0057077445	0.0034943502	0.0101912115	0.0018069876	0.0029922815	0.0025783642	0.0013553784	0.00047244772	0.0006064379	0.01872312	0.019376094	0.027913751	0.034864847	0.7013552	0.15825129
n	8.3497216e-05	1.6688458e-05	9.537847e-05	0.00021808792	0.0003307318	0.0005964251	0.0003020609	0.00016859955	0.00014963983	0.00020269219	0.00081486354	0.0013824574	0.0060300827	0.020148065	0.92763513	0.04182565
e	0.0030860864	0.00068913476	0.004132165	0.0079799695	0.0027382975	0.0028304874	0.0070173284	0.0014264734	5.369083e-05	0.0025137798	0.0147073185	0.035430137	0.13018914	0.031765033	0.6429041	0.11253689
</S>	0.00063191296	0.00018137289	0.000991368	0.0020818475	0.00368327	0.0070313066	0.002724001	0.00037053565	0.00061073754	0.00064595207	0.0010273112	0.0009745932	0.003149389	0.08158212	0.41802207	0.47629225
