 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
a	0.00017481972	0.0001874097	9.094446e-05	0.00035127762	0.010622624	0.5988273	0.36786824	0.01926863	0.0016416898	0.00096707407
ì	0.0055788313	0.010894252	0.009793161	0.01444457	0.0034340154	0.1799517	0.3717088	0.37141895	0.02419098	0.008584718
c	0.00086362904	0.0015251272	0.001229983	0.0016729269	0.0016116039	0.4052333	0.39839184	0.18413521	0.0031078358	0.002228582
h	5.068939e-05	4.9086568e-05	1.3293546e-05	4.8708196e-05	0.007894104	0.19818665	0.22758123	0.5415655	0.023210516	0.00140035
e	0.00013104318	0.00020785724	4.7615154e-05	0.0001487841	0.00024074547	0.10582725	0.73299676	0.090920545	0.05797561	0.011503779
n	0.00022445263	0.00073902955	0.0003266149	0.00050890626	0.00023710131	0.11004222	0.11981148	0.64072484	0.077992566	0.049392793
a	7.285669e-06	6.261496e-06	3.4243055e-06	7.419822e-06	0.00011723875	0.006292868	0.026182251	0.83561575	0.12750363	0.004263847
m	0.0002522216	0.00032962428	0.00024443067	0.00031337366	0.00016401247	0.003477181	0.006993246	0.2152557	0.30730212	0.46566808
a	2.130094e-05	1.4147557e-05	4.5587e-06	1.1680816e-05	0.0001470752	0.0010295071	0.006066841	0.5179885	0.4144125	0.06030388
r	1.5631527e-05	1.4215331e-05	1.1392052e-05	1.3788027e-05	1.670628e-05	0.0009273919	0.0016083858	0.107546374	0.61451745	0.2753287
è	5.44796e-06	6.0125117e-06	1.65604e-06	4.657755e-06	2.2743347e-05	0.00039452835	0.0023846533	0.21493989	0.5911758	0.19106469
s	3.6134534e-06	6.753556e-06	8.178602e-06	1.1511941e-05	3.5672908e-06	0.0005903812	0.0053586815	0.04580117	0.9374459	0.010770237
s	4.8357597e-05	4.257023e-05	6.1638643e-06	9.03385e-06	3.005975e-05	0.0025949331	0.003365133	0.03822733	0.7120007	0.24367566
i	0.00021932407	0.00019773863	4.3766868e-05	6.3684056e-05	1.602345e-05	0.003760507	0.010653068	0.020602904	0.86146957	0.10297346
</S>	5.5659435e-05	0.00010887045	9.2589624e-05	0.00013079925	1.4379982e-05	0.00023896	0.0010828577	0.0026445305	0.18755786	0.80807346
