 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
o	5.095936e-05	8.35682e-05	4.669057e-05	0.000105388535	0.0025132606	0.004080152	0.07239661	0.2802264	0.010878092	0.34440705	0.23339823	0.051257093	0.00050032896	5.304739e-05	2.8190823e-06	4.1650122e-07
p	0.005678762	0.007466867	0.0015633055	0.0031292466	0.005564025	0.0053505134	0.016716268	0.19440582	0.027230259	0.18911608	0.4540498	0.08693103	0.002319413	0.00036553855	0.00010351578	9.539026e-06
r	1.8949382e-05	1.6679352e-05	1.2826661e-05	1.1031689e-05	0.00046079553	0.00016535788	0.0067420737	0.06498092	0.0055746296	0.3357128	0.47964695	0.100564495	0.0043224394	0.001612518	0.00014348098	1.4140579e-05
ì	6.1695623e-06	6.1588867e-06	7.814252e-06	3.0600468e-06	9.3595336e-05	0.0009472314	0.0026705978	0.036103275	0.000343724	0.78205943	0.08766685	0.01925192	0.06783187	0.0026230155	0.0003262567	5.8999954e-05
m	0.00058557896	0.00026587883	0.00025605812	0.00017873163	0.012715462	0.0017782638	0.030601462	0.058762845	0.13426177	0.22013646	0.25690922	0.2662742	0.014345612	0.002019758	0.00050827244	0.00040038777
a	0.00071254594	0.00018152887	0.00022761917	3.1884458e-05	0.010323524	0.00026926142	0.011162253	0.01879038	0.15844688	0.34456295	0.25147966	0.1806234	0.018762266	0.0031822156	0.0008711329	0.00037264414
k	0.008797806	0.013662996	0.0028695925	0.0101258205	0.0026067768	0.006700841	0.0021749716	0.01156002	0.0073584476	0.053163845	0.25918108	0.54234415	0.056320533	0.019705998	0.0029266954	0.0005004298
a	0.00019829183	0.00012862134	9.555355e-05	5.710064e-05	0.0005315309	0.00010018731	0.00052216166	0.005406381	0.010301028	0.06033892	0.38217655	0.47613558	0.03662387	0.021754539	0.004883737	0.00074599124
n	0.0004959294	0.0005845346	0.00019253418	0.0004039363	0.00022057066	0.00038862386	0.0003139149	0.002141547	0.00073909224	0.026640864	0.20128949	0.6619292	0.0723734	0.030623455	0.001326277	0.0003366505
a	3.4677978e-05	2.3813125e-05	1.8560791e-05	1.6324215e-05	7.251095e-05	2.6716174e-05	0.0002528789	0.003242912	0.008130148	0.03173258	0.34625307	0.49758497	0.05491198	0.051980495	0.0051396587	0.0005787501
f	0.00028445997	0.00027504572	0.00011827719	0.0002057437	0.00014042093	0.00020051817	0.00019436648	0.0011078018	0.00041930942	0.012454013	0.10933278	0.6587036	0.10199142	0.10766566	0.006064383	0.00084207096
a	3.6445268e-05	2.3891476e-05	1.6795364e-05	1.4808038e-05	3.5710265e-05	1.851879e-05	0.00012018976	0.0010248341	0.00422432	0.00942366	0.13145371	0.43343234	0.14218552	0.24173681	0.027242376	0.009010025
n	4.1127616e-05	2.0942422e-05	1.6722252e-05	1.3286549e-05	8.337262e-05	1.8606408e-05	9.438918e-05	0.00066343695	0.00048586112	0.006335362	0.06559355	0.48796168	0.10943685	0.23785913	0.08426499	0.007110649
e	3.2451542e-05	2.2540502e-05	1.7905624e-05	1.2824109e-05	2.0148662e-05	1.5882457e-05	3.254663e-05	0.00027304367	0.0005599827	0.002430935	0.032687467	0.22159176	0.17545173	0.48725113	0.061938524	0.017661132
p	0.00013527076	9.048884e-05	4.8208363e-05	4.5214158e-05	2.9083469e-05	4.8439295e-05	4.041604e-05	0.00020641333	3.128329e-05	0.0031122277	0.018289415	0.18426138	0.23039153	0.42742234	0.108458646	0.027389603
r	5.1440937e-05	2.7983986e-05	2.064321e-05	1.606409e-05	3.212979e-05	1.968649e-05	6.355992e-05	0.00031684694	0.0020285698	0.0016574858	0.026694145	0.1899498	0.11352561	0.47189334	0.157834	0.03586876
ì	5.207739e-06	4.5604484e-06	1.5069301e-06	7.690695e-07	8.99367e-06	6.2005e-06	9.797962e-06	0.00012017595	0.00013651422	0.01740164	0.012737335	0.024822036	0.5016363	0.17382275	0.25181603	0.01747018
m	6.4447675e-05	2.706958e-05	1.7613504e-05	1.1847474e-05	0.00012704916	2.5632751e-05	7.815248e-05	0.0004968392	0.00051878684	0.0034725626	0.017671559	0.1404792	0.036459696	0.15001829	0.6215512	0.028980043
a	0.00013323543	2.9161678e-05	3.3920332e-05	3.578523e-06	5.2522315e-05	5.8357123e-06	2.0847132e-05	8.707596e-05	0.0009406868	0.0008434996	0.0033956328	0.034720678	0.03811546	0.12559913	0.7251198	0.07089898
n	0.0026321912	0.0033486136	0.0007600197	0.0023680932	0.00013693597	0.0021815908	0.00018056907	0.00037749566	1.9466766e-05	0.0015564839	0.0014917449	0.007011687	0.027011909	0.11332559	0.30769563	0.529902
a	5.5514174e-05	2.5481188e-05	2.2724296e-05	9.910965e-06	1.148181e-05	1.2330843e-05	1.0074117e-05	4.0326115e-05	3.860563e-05	0.00016832042	0.0011525903	0.012655488	0.030022446	0.36145133	0.4518784	0.14244501
f	0.0006454032	0.0008655414	0.00019904434	0.00054161175	4.6987076e-05	0.0006055591	5.8814003e-05	9.379897e-05	5.01238e-06	0.0005766321	0.0005654849	0.0046013296	0.026763305	0.118683845	0.3782012	0.46754643
à	2.1226317e-05	9.2866585e-06	9.037123e-06	4.420927e-06	2.9669266e-06	3.721168e-06	5.59838e-06	2.1996671e-05	0.00011392948	0.00013743463	0.00097296713	0.011013724	0.012025908	0.22646149	0.6710875	0.078108795
n	1.5868414e-05	2.1528727e-05	5.8801843e-06	1.8572699e-05	4.5500033e-06	2.2262808e-05	4.4039957e-06	1.6569895e-05	7.279751e-06	4.348412e-05	0.00023593022	0.0020203954	0.004288511	0.039372344	0.929631	0.024291344
e	0.00013794957	4.568336e-05	4.7266345e-05	5.5379314e-06	2.2374337e-05	9.135017e-06	1.3200872e-05	2.2632898e-05	1.0218545e-05	2.3642515e-05	0.00012742284	0.0012581726	0.0010981556	0.016175568	0.71795356	0.26304948
</S>	0.0011738607	0.0014978962	0.00034294638	0.0010423447	5.052404e-05	0.0009900621	7.275281e-05	0.00012535769	2.571969e-06	0.0005881611	0.00023060413	0.0005604816	0.0065382845	0.01183142	0.23198643	0.74296635
